id,"engname","korname","est","location","location_detail","phone","homepage","description","logo_image","brand_image"
11,"BUDNAMU BREWERY","버드나무 브루어리","2015.9","강원도 강릉시","강원도 강릉시 경강로 1961","033-920-9380","http://budnamu.kr/","버드나무 브루어리는 2015년 9월 강릉에 문을 연 맥주 양조장이다. 강릉의 지역색을 담고, 한국적 재료를 이용해 맥주를 만든다. 브루어리와 펍이 공존하는 공간에서는 그들의 맥주를 판매하는 것은 물론이고, 최고의 커피, 음료, 음식을 제공하기 위해 힘쓴다. 더불어 꾸준히 전시, 공연, 마켓 등을 기획하여 복합적인 문화 공간을 지향한다.","brewery/11/logo_image.png","brewery/11/brand_image.png"
12,"PLATINUM","플래티넘","2002","서울시 성동구","서울시 성동구 성수 2가 3동 315-1 삼연빌딩 5층 507호","02-466-6004","http://www.platinumbeer.com/","2002년 주세법 개정과 함게 문을 연 플래티넘 마이크로 브루어리는 7가지 맥주를 생산하는 유일의 마이크로 브루어리로 국내에서 최초로 페일 에일을 생산, 현재까지 많은 사람을 받고 있는 브루어리다. 2014년 대만 타
이페이에서 열린 2014 아시아 비어 컵에서 다크 에일 부문 플래티넘 맥주 오트밀스타우트가 금상을 수상했으며, 지난해 세계 5대 맥주 대회 중 하나인 호주 인터내셔널 비어 어워즈에서 5관왕을 차지하며 신인 최고
브루어리에게 주어지는 GARY SHEPHERD AWAED FOR BEST NEW EXHIBITOR을 수상했다.","brewery/12/logo_image.png","brewery/12/brand_image.png"
13,"BREWONE","브루원","2015","경기도 고양시","경기도 고양시 덕양구 관산동 574-13","031-967-7138","https://www.facebook.com/BrewOneBrewery","국내브루어리와 수입 크래프트생맥주 전문점. 자체 수제맥주인 밍글, 아이홉소, 다윗등을 마실 수 있으며 조용하고 아늑한 공간에서 잘 관리된 시원한 생맥주들을 즐길 수 있는 장소이다.","brewery/13/logo_image.png","brewery/13/brand_image.png"
14,"LEVEE MICRO BREWERY","레비 마이크로 브루어리","2013","경기도 수원시","경기도 수원시 영통구 망포동 570-5 뉴엘지프라자 2F","031-202-9915","https://www.facebook.com/leveebrewery","레비는 2002년 부산에서 ‘도지마 하우스’ 를 시작으로 하여 ‘바로니 하우스’ 를 거쳐 현재의 ‘레비 브루잉 컴퍼니’ 가 되었다. 국내 수제 맥주 시장의 1세대 기업으로서 이들은 대중의 입맛에 맞는 맥주를 개발하기 위해 끊임없이 노력해왔다. 또한 레비 브루잉 컴퍼니만의 트렌디한 감각과 혁신적인 시도를 통해 ALT BEER, KOLSCH, SORACHI ACE 등을 선보이며 다른 크래프트 브루어리에서는 볼 수 없었던 차별화 된 맥주를 만드는데도 노력을 기울이고 있다. ","brewery/14/logo_image.png","brewery/14/brand_image.png"
15,"PLAYGROUND","플레이그라운드","2015.2","경기도 고양시","경기도 고양시 일산서구 이산포길 246-11","031 912 2461","http://www.playgroundbrewery.com","플레이그라운드 브루어리 창업자 3명은 모두 30대로써 가족들 그리고 사람들과 함께 즐기는 삶을 추구한다. 그리하여 항상 즐거웠던 기억만 있는‘놀이터’를 회사의 명칭으로 하였고 놀이 기구 중 가장 좋아하였던 미끄럼틀을 회사의 로고로 형상화 하였다.플레이그라운드라는 이름은 삶에 지친 성인들에게도 놀이터와 같은 즐거움을 느낄 수 있는 공간과 경험을 제공하고자 하는 희망도 담고 있다.플레이그라운드 브루어리의 만트라(철학)는 Don’t Pause, Just Play다. 과도한 회사 업무와 바쁜 일상으로 현재를 즐기기 힘들지만 즐길 권리가 있는 현재 대한민국의 전형적인 30~40대를 위한 문구다.가끔은 일과 가족을 구분하고 지금 이 순간을 즐기라는 의미를 담고 있다. 플레이그라운드 브루어리는 다양한 사람들이 즐길 수 있는 놀이터와 같은 공간을 만들고 싶기에 우리나라의 가장 대표적인 놀이인 하회별신 굿탈놀이의 여러 캐릭터들을 브랜드로 정했다. 그들의 맥주 스타일과 스토리에 맞는 8개의 탈을 골라 제품의 브랜드로 활용하고 있다. 하회별신 굿탈놀이는 평민들이 탈을 통해 자신을 감추고 자신들의 억눌린 감정과 불만을 해소하는 우리 선조들의 대표적인 놀이였으며 양반들은 평민들의 이러한 비판과 풍자를 통하여 그들의 삶을 이해할 수 있었다. 즉, 놀이를 통해 계층간의 커뮤니케이션 과 스트레스 해소 역할을 하게 된 것이다. 플레이그라운드 브루어리 역시 이러한 의미에 공감하고 하회탈을 제품 브랜드화 하였다.","brewery/15/logo_image.png","brewery/15/brand_image.png"
16,"WHASOO BREWERY","화수 브루어리","2003","경상도 울산","경상남도 울산시 남구 신복로22번길 28 지하1층","052-247-8778 ","http://whasoo.itrocks.kr","\"이우재와 이규찬은 맥주를 만든다. 맥주는 우리에게 놀이의 수단이다. 작업과 노는 것을 분리하지 않으며 맥주를 소재로 다양한 아웃풋을 만들어 사람들과 소통한다. 우리는 맛있다.\"","brewery/16/logo_image.png","brewery/16/brand_image.png"
17,"AKITU BREWING","아키투 브루잉","2003","부산시 기장군","부산광역시 기장군 기장읍 동서길 84-2","051-724-5049","http://www.akitubrewing.com/","아키투(AKITU)는 인류 최초 문명인 수메르(Sumer) 시대에 행해졌던 신년 축제 이름이다. 맥주는 인류 최초 문명인 수메르(Sumer) 시대부터 양조되었다. 수메르 시대에는 많은 양의 맥주가 양조되고, 축제 때면 엄청난 양의 맥주가 소비되었다. 수메르에서 가장 중요한 신년 축제인 아키투(AKITU)는 춘분(Vernal Equinox)날 시작되어 14일 동안 행해졌다. 수메르인들은 만물이 소생하는 춘분을 새로운 한 해의 시작이라 보았다. 그리고 수메르 시대에는 맥주를 만들기 위하여 품질 좋은 보리가 품종 개량되어 널리 재배되고, 봄에 보리를 수확하였다. 이처럼 수메르의 아키투(AKITU)는 만물이 소생하는 새해 첫날을 축하하는 축제이자, 그 당시 많이 양조되고 음용되었던 맥주의 원료인 보리를 수확하는 축제였다. 아키투 브루잉(AKITU Brewing Co.)은 맥주의 기원을 찾아 수메르에 이르렀고, 인류는 왜 맥주를 갈망할 수밖에 없는가의 이유를 수메르에서 찾는다.","brewery/17/logo_image.png","brewery/17/brand_image.png"
18,"OWL AND PUSSYCAT","아울 앤 푸시캣","2014.9","부산시 수영구","부산 수영구 남천바다로 38-1","070-7631-8333","http://www.owlandpussycat.kr","2014년 바틀샵으로 오픈했다가 2015년 탭룸을 오픈한다. 21가지 수제맥주를 맛볼 수 있다. 대표 자체맥주(위탁양조)는 '수리세종'이다. 맥주를 마시며 창밖으로 광안대교를 감상할 수 있어 분위기가 좋다. 주차가능하며, 평일과 주말 모두 밤11시까지 운영한다. 수제맥주 가격 6천5백원부터.","brewery/18/logo_image.png","brewery/18/brand_image.png"
19,"JNC","장앤크래프트","2011.3","전라도 순창군","전라북도 순창군 인계면 물통길 22-6","063-653-9750","http://www.guarneri.co.kr","장앤크래프트 브루어리는 장창훈 대표가 전라북도 순창에 지은 국내 최대 규모의 크래프트 맥주 공장이다. 이 공장의 연간 생산량은 5000킬로리터(㎘) 수준이다. 일반 소규모 브루어리보다 최대 50배 정도 큰 양조장인 셈이다. 장창훈 대표는 “올해 중에 장앤크래프트 브루어리 자체 레시피로 만든 맥주 20여종을 추가할 생각”이라며 “인삼처럼 재밌는 재료를 넣은 실험적인 맥주들을 기대해 달라”고 말했다.","brewery/19/logo_image.png","brewery/19/brand_image.png"
20,"PONGNDANG","퐁당","2011.12","서울시 용산구","서울시 용산구 새창로 213 -17","070-8692-3875","http://www.pongdangsplash.com/#","좋은 맥주를 찾아 여기저기 합핑(옮겨 다니며 즐기는 것)하는 맥주 마니아라면 '퐁당'은 이미 익숙할지도 모르겠다. 세계병맥주를 즐길 수 있는 맥주창고 스타일의 <비어퐁당>, 다양한 생맥주들을 즐길 수 있는 탭하우스 <퐁당 크래프트 비어 컴퍼니>, 그리고 퐁당 고유 레시피로 맥주를 위탁 생산하여 판매하는 수제 맥줏집 <메이드인퐁당>. 이 중 이태원 경리단길 상권에 위치한 <메이드인퐁당>에서는 맥주를 위탁 생산하여 퐁단만의 3가지 시리즈를 선보이며 많은 사람의 발길을 붙잡고 있다.","brewery/20/logo_image.png","brewery/20/brand_image.png"
21,"THE FOUR SEASONS","사계","2013","서울시 용산구","서울시 용산구 보광로59길 7","070-8882-8102","https://www.facebook.com/craftpub4seasons/","맥주 전문 웹사이트인 비어포럼을 꾸려가는 다섯명의 운영진이 오픈한 크래프트 비어펍이다. 계절마다 새로운 레시피로 만든 크래프트 비어를 선보이는 곳으로, 7가지 종류의 크패프트 비어와 간단한 안주를 즐길 수 있다.","brewery/21/logo_image.png","brewery/21/brand_image.png"
22,"SEPTEMBER BREWING","셉템버 브루잉","2015.7","서울시 강남구","서울시 강남구 역삼로4길 16","010-4856-3869","https://www.facebook.com/septemberbrewing/","셉템버브루잉은 짚시브루잉 컴퍼니로, 국내 및 해외 유수 양조장과 협업해 양조장의 특색과 브랜드에 맞는 독특하고 흥미로운 맥주를 만들고 있다.","brewery/22/logo_image.png","brewery/22/brand_image.png"
23,"TREVIER","트레비어","2003","경상도 울산시","경상남도 울산시 울주군 언양읍 반구대로 1305","080-225-1110","http://www.labbrewings.com","트레비어의 역사는 2003년 울산 시내에 오픈한 독일식 맥주 전문점 ‘트레비브루이하우스’에서 시작한다. 남색 청셔츠를 입은 정재환 대표는 독일에서 ‘비어가르텐’(야외에서 맥주를 마실 수 있도록 해놓은 곳)을 방문한 후, 노지에서 즐기는 맥주 한 잔의 문화를 한국에 가져오고 싶어 트레비브루이하우스를 설립했다. 2002년 소규모 맥주면허가 처음 시행될 당시, 시장에는 100여 개의 업체가 생겨났다. 그러나 현실의 벽에 부딪혀 그 수가 40개 정도로 현저히 주는 등 침체기를 겪기도 한다. 그런 와중에 2014년 주세법 시행령이 일부 개정되면서 다시 80여 개의 업체로 늘었다. 트레비브루이하우스는 이 모든 과정을 함께하며 지금까지 살아남은 업체로 입지를 굳혔다. 또한 작년에는 트레비어 양조장을 시작하며, 수제맥주 시장에 본격 뛰어들었다. 소규모 맥주의 외부 유통이 자유로워짐과 동시에 트레비브루이하우스를 벗어나 더 큰 세상으로 도약하는 것이다.","brewery/23/logo_image.png","brewery/23/brand_image.png"
24,"STEINDORF","슈타인도르프","2016.1","서울시 송파구","서울시 송파구 오금로 15길 11 ","02-422-9000","https://www.facebook.com/SteinDorfkorea","방이동 먹자골목에 오직 ‘맥주’만을 위한 공간, ‘슈타인도르프 브로이’가 문을 열었다. 인근에 자리한 호수인 석촌을 독일어로 변환, 석 Stein과 촌 Dorf에 양조장 Brau을 더해 이름을 지었다. 지하 3층과 지상 6층으로 이루어진 공간은 라운지, 가족과 연인들을 위한 아늑한 공간, 스포츠 펍 등 다양한 형태로 구성했다. 지하 1층에 자리한 대규모 양조장을 견학하는 것도 언제든 가능하다. 맥주 맛에 대한 자부심은 자체 생산한 스타우트, IPA, 헤페바이젠, 페일 에일만 판매하는 것에서 드러난다. 스타우트는 2016 대한민국 주류대상 맥주 크래프트비어 에일 스타우트·포터 부문에서 대상을 받으며 그 맛을 공식적으로 인정받았다. 부드러우면서도 쫄깃한 식감의 학센, 소시지부터 피자와 튀김류, 샐러드와 마른안주 같은 가벼운 메뉴도 마련되어 있다. 점심 한정으로 선보이는 브런치 메뉴도 잊지 말 것.","brewery/24/logo_image.png","brewery/24/brand_image.png"
25,"GORILLA BREWING","고릴라 브루잉","2016.2","부산시 수영구","부산시 수영구 광안해변로 321","051-714-6258","http://gorillabrewingcompany.com/","고릴라 브루잉은 부산에서 영국 맥주의 맛을 재현하고 있다. 런던의 유명 브루어리인 CRATE BREWERY의 헤드브루어와 협업하고 있으며, 영국 크래프트 맥주 문화를 부산에서 실현하고 있다. 고릴라브루잉 컴퍼니는 다양한 이벤트, 파티를 기획하여 함께 참여하는 문화적인 공간으로, 영국 브루어들만의 클래식한 맥주 맛과 스타일을 느낄 수 있다.","brewery/25/logo_image.png","brewery/25/brand_image.png"
26,"CASTLE PRAHA","캐슬프라하","2003","서울시 마포구","서울시 독막로7길 59","02-337-6644","www.castlepraha.co.kr","캐슬프라하는 진정한 맥주마니아들을 위한, 최고의 맥주를 만들고자하는 열정을 가지고, 장고한 역사를 가진 체코식 맥주를 생산하기로 하고 상호도 실제 프라하에 있는 프라하 성을 본떠서 캐슬프라하로 정하여, 구청사의 시계탑광장의 성을 실제로 재현하였다. 맥주 제조장비를 체코에서 수입하여 설치하였음은 물론이고, 맥주제조 원료인 맥아, 홉, 효모 일체를 체코에서 직접 들여와 사용하였고, 사업 개시일부터 약 1년 반 동안은 맥주 제조에서 가장 중요한 인력인 맥주제조 기술도 체코 현지 기술자 중 30년 이상의 실력자를 초빙하여 기술 전수를 받았으며 정기적으로 체코 현지 기술자를 초빙하여 정통기술을 전수 받았다. 이들의 메뉴와 서비스는 일반 맥주 주점과는 차원을 달리하여 Fine & Dine Restaurant에서 접할 수 있는 수준의 퀄리티를 유지한다. 캐슬프라하는 강남점에서의 경험을 살려 체코의 맥주와 음식을 전파하는 역할을 할 뿐 아니라 생생한 현지 문화를 체험할 수 있는 공간으로 구성된 홍대점을 2006년 젊음과 문화의 거리 홍대지역에 오픈하여 캐슬프라하를 매력적인 공간으로 널리 대중에게 알리고 있다.","brewery/26/logo_image.png","brewery/26/brand_image.png"
27,"GOODMAN BRERWERY","굿맨 브루어리","2016.6","경기도 구리시","경기도 구리시 동구릉로389번길","02-577-6376","http://goodmanbrewery.co.kr/","Goodman Brewery는 영국과 벨기에 스타일의 Brewing을 추구한다. 부드러운 풍미의 영국 맥주와 오랜 역사의 깊은 맛이 느껴지는 벨지안 스타일의 맥주가 가장 와닿았기 때문이다. 맥주를 만드는 것은 효모다. Goodman Brewery는 맥주 맛의 본질은 이스트에서 온다고 생각하며 이스트의 모니터링에 가장 중점을 두고있다. 수제 맥주가 대기업 맥주보다 향이 진하고 신선하다는 평을 많이 받는 이유에는 물론 재료의 풍부함도 있지만 걸러지거나 고온으로 멸균되지 않은 효모가 전달하는 향이 더해지기 때문이다. 효모가 탄산을 생성하며 일을 다시하기 때문에 풍미가 더욱 진해지며 야생효모의 경우에는 마치 와인처럼 약 2, 3년 이상 병안에서 진화해간다. Goodman Brewery는 좋은 품질을 위해 선별된 맥아를 영국과 독일에서 홉을 미국, 독일, 영국, 호주, 뉴질랜드에서 효모를 미국의 연구소에서 공급받는다. 그리고 벨기에 전통 맥주들을 위해 프랑스브루고뉴 지방의 피노누아 오크통을 들여와 숙성을 진행한다.","brewery/27/logo_image.png","brewery/27/brand_image.png"
28,"KRAEMERLEE","크래머리","2015.2","경기도 안산시","경기도 안산시 상록구 수암동 480-3","010-2496-5429","http://www.kraemerlee.com/","‘크래머리’는 독일 출신의 브루마스터 ‘크래머 Kraemer’와 두 명의 ‘이 Lee’씨 성을 가진 한국인 브루마스터가 함께 만든 크래프트 맥주 브랜드다. 경기도 안산에 자리한 양조장에서 독일의 전통적인 맥주 제조법을 바탕으로 만든 개성 있는 맥주를 선보인다. 자체 운영 중인 펍을 통해 바이젠복, 스타우트, 필스너 등을 신선한 맥주 상태로 맛볼 수 있다. 바삭한 식감의 독일식 피자인 플람쿠헨, 구운 소시지에 담백한 감자 샐러드가 함께 제공되는 메뉴가 인기다. ","brewery/28/logo_image.png","brewery/28/brand_image.png"
