beer_name,beer_abv,beer_ibu,beer_srm,beer_kcal,national_id,category_id,brewery_id,description,ounces
Arjuna,0.06,,,,america,Witbier,193,,12
Uroboros,0.085,,,,america,American Stout,193,,12
Long Leaf,0.071,75,,,america,American IPA,69,,16
Honey Badger Blonde,0.047,19,,,america,American Blonde Ale,69,,16
Porter (a/k/a Black Gold Porter),0.06,23,,,america,American Porter,69,,16
Sky High Rye,0.06,55,,,america,American Pale Ale (APA),541,,12
Whitsun,0.062,17,,,america,American Pale Wheat Ale,541,,12
On-On Ale (2008),0.052,,,,america,American Pale Ale (APA),513,,12
Quakertown Stout,0.092,50,,,america,American Double / Imperial Stout,426,,12
Greenbelt Farmhouse Ale,0.051,20,,,america,Saison / Farmhouse Ale,426,,12
Mo's Gose,0.052,10,,,america,Gose,461,,16
Green Bullet Organic India Pale Ale,0.07,45,,,america,American IPA,429,,16
Rocket Girl,0.032,27,,,america,Kölsch,528,,12
Ninja Porter,0.053,26,,,america,American Porter,528,,12
Shiva IPA,0.06,69,,,america,American IPA,528,,12
Aslan IPA,0.077,,,,america,American IPA,353,,16
Aslan Amber,0.077,,,,america,American Amber / Red Ale,353,,16
This Season's Blonde,0.056,27,,,america,American Blonde Ale,523,,12
Independence Pass Ale,0.07,67,,,america,American IPA,523,,12
Trolley Stop Stout,0.057,40,,,america,American Stout,374,,12
Bitter Bitch Imperial IPA,0.082,138,,,america,American Double / Imperial IPA,374,,12
Poop Deck Porter,0.062,35,,,america,American Porter,374,,12
Old Red Beard Amber Ale,0.06,35,,,america,American Amber / Red Ale,374,,12
Hop A-Peel,0.075,115,,,america,American Double / Imperial IPA,72,,16
Vanilla Java Porter,0.055,12,,,america,American Porter,72,,16
Michelada,0.052,,,,america,Fruit / Vegetable Beer,72,,16
Dirty Blonde Ale,0.045,8,,,america,American Blonde Ale,72,,12
Grand Circus IPA,0.05,62,,,america,American IPA,72,,12
Atwater's Lager,0.05,12,,,america,Munich Helles Lager,72,,12
Heavy Machinery IPA Series #1: Heavy Fist,0.07,,,,america,American Black Ale,413,,16
Fire Eagle IPA,0.062,,,,america,American IPA,413,,12
Peacemaker,0.051,,,,america,American Pale Ale (APA),413,,12
Pearl-Snap,0.053,,,,america,German Pilsener,413,,12
Black Thunder,0.052,,,,america,Schwarzbier,413,,12
Raja,0.08,,,,america,American Double / Imperial IPA,37,,12
Perzik Saison,0.064,,,,america,Saison / Farmhouse Ale,37,,12
Avery Joe Premium American Pilsner,0.047,42,,,america,German Pilsener,37,,12
White Rascal,0.056,10,,,america,Witbier,37,,12
Avery India Pale Ale,0.063,69,,,america,American IPA,37,,12
Ellie Brown Ale,0.055,17,,,america,American Brown Ale,37,,12
Pumpkin Beast,0.062,17,,,america,Pumpkin Ale,360,,12
OktoberBeast,0.072,22,,,america,Märzen / Oktoberfest,360,,12
Mad Beach,0.048,23,,,america,American Pale Wheat Ale,360,,12
Hog Wild India Pale Ale,0.067,,,,america,American IPA,360,,12
Devils Tramping Ground Tripel,0.092,5,,,america,Tripel,360,,12
Hot Rod Red,0.061,41,,,america,American Amber / Red Ale,360,,12
Palate Mallet,0.086,,,,america,American Double / Imperial IPA,235,,12
Back East Porter,0.06,,,,america,American Porter,235,,12
Back East Golden Ale,0.049,,,,america,American Blonde Ale,235,,12
Misty Mountain IPA,0.07,,,,america,American IPA,235,,12
Back East Ale,0.05,,,,america,American Amber / Red Ale,235,,12
Truck Stop Honey Brown Ale,0.06,,,,america,English Brown Ale,286,,12
Naked Pig Pale Ale,0.06,43,,,america,American Pale Ale (APA),286,,12
Topcutter India Pale Ale,0.068,70,,,america,American IPA,483,,12
Field 41 Pale Ale,0.044,38,,,america,American Pale Ale (APA),483,,12
Grapefruit Sculpin,0.07,,,,america,American IPA,34,,12
Even Keel,0.038,40,,,america,American IPA,34,,12
Ballast Point Pale Ale,0.052,23,,,america,Kölsch,34,,12
Big Eye India Pale Ale,0.07,75,,,america,American IPA,34,,12
Longfin Lager,0.046,,,,america,Munich Helles Lager,34,,12
Sculpin IPA,0.07,70,,,america,American IPA,34,,12
All Nighter Ale,0.045,,,,america,Extra Special / Strong Bitter (ESB),318,,12
Banner American Rye,0.045,20,,,america,Rye Beer,318,,12
Banner American Ale,0.035,45,,,america,American Amber / Red Ale,318,,12
Thai.p.a,0.07,46,,,america,American IPA,20,,16
Barrio Blanco,0.06,60,,,america,American IPA,251,,12
Barrio Tucson Blonde,0.045,,,,america,American Blonde Ale,251,,12
Hop in the ool Helles,0.049,22,,,america,American Pilsner,116,,12
Ultra Gnar Gnar IPA,0.067,60,,,america,American IPA,116,,12
In-Tents India Pale Lager,0.068,62,,,america,American Pale Lager,116,,12
Lost Meridian Wit,0.05,20,,,america,Witbier,116,,12
Celestial Meridian Cascadian Dark Lager,0.051,45,,,america,Euro Dark Lager,116,,12
Wagon Party,0.054,55,,,america,California Common / Steam Beer,258,,12
Sky-Five,0.067,70,,,america,American IPA,258,,12
Stargrazer,0.05,28,,,america,Schwarzbier,258,,12
Wonderstuff,0.054,48,,,america,German Pilsener,258,,12
Tarnation California-Style Lager,0.053,,,,america,California Common / Steam Beer,292,,12
On the Count of 3 (2015),0.07,42,,,america,Hefeweizen,292,,16
Summer Swelter,0.047,,,,america,American Pale Wheat Ale,292,,12
Phantom Punch Winter Stout,0.068,,,,america,Foreign / Export Stout,292,,12
Hayride Autumn Ale,0.066,,,,america,Rye Beer,292,,12
Celsius Summer Ale (2012),0.047,,,,america,American Pale Wheat Ale,292,,12
Amber Road,0.055,35,,,america,American Amber / Red Ale,292,,12
Pamola Xtra Pale Ale,0.049,28,,,america,American Pale Ale (APA),292,,12
Stowaway IPA,0.069,69,,,america,American IPA,292,,12
Hoptopus Double IPA,0.088,108,,,america,American Double / Imperial IPA,306,,16
Watermelon Ale,0.05,10,,,america,Fruit / Vegetable Beer,103,,12
Fenway American Pale Ale,0.058,45,,,america,American Pale Ale (APA),103,,12
Back Bay IPA,0.068,85,,,america,American IPA,103,,12
Bunker Hill Blueberry Ale ,0.048,16,,,america,Other,103,,12
Oberon,0.058,,,,america,American Pale Wheat Ale,76,,12
Smitten,0.06,,,,america,Rye Beer,76,,16
Winter White,0.05,,,,america,Witbier,76,,16
Oberon,0.058,,,,america,American Pale Wheat Ale,76,,16
Two Hearted,0.07,,,,america,American IPA,76,,16
Best Brown,0.058,,,,america,American Brown Ale,76,,16
Moar,0.044,44,,,america,English India Pale Ale (IPA),53,,12
Uber Lupin Schwarz IPA,0.083,,,,america,American Double / Imperial IPA,53,,16
Nordic Blonde,0.057,27,,,america,American Blonde Ale,53,,12
Cold Press,0.06,,,,america,American Black Ale,75,,12
Harness the Winter,0.072,87,,,america,American IPA,75,,12
14 ESB ,0.056,32,,,america,Extra Special / Strong Bitter (ESB),75,,12
Bent Hop Golden IPA,0.062,68,,,america,American IPA,75,,12
Bent Paddle Black Ale,0.06,34,,,america,American Black Ale,75,,12
Venture Pils,0.05,38,,,america,German Pilsener,75,,12
Lost Sailor IPA,0.055,40,,,america,English India Pale Ale (IPA),278,,12
Steel Rail Extra Pale Ale,0.053,20,,,america,American Pale Ale (APA),278,,12
La Frontera Premium IPA,0.078,,,,america,American IPA,463,,12
Tejas Lager,0.047,,,,america,Czech Pilsener,463,,12
Number 22 Porter,0.064,,,,america,American Porter,463,,12
Big Bend Hefeweizen,0.056,,,,america,Hefeweizen,463,,12
Terlingua Gold,0.06,,,,america,American Blonde Ale,463,,12
Apr Shred,0.081,17,,,america,American Strong Ale,220,,16
Hemlock Double IPA,0.095,104,,,america,American Double / Imperial IPA,220,,12
West Portal Colorado Common Summer Ale,0.041,,,,america,California Common / Steam Beer,220,,16
Disconnected Red,0.067,85,,,america,American Amber / Red Ale,220,,16
Big Elm IPA,0.07,,,,america,American IPA,477,,12
Gerry Dog Stout,0.065,,,,america,American Stout,477,,12
413 Farmhouse Ale,0.06,,,,america,Saison / Farmhouse Ale,477,,12
Dark Star,0.08,54,,,america,American Stout,8,,16
Ryecoe,0.062,,,,america,American IPA,8,,16
Blueberry Blonde,0.06,,,,america,Fruit / Vegetable Beer,40,,12
Galaxy IPA,0.075,60,,,america,American IPA,40,,16
Big River Pilsner,0.05,32,,,america,Czech Pilsener,519,,12
House Brand IPA,0.06,55,,,america,American IPA,519,,12
Big Sky IPA,0.062,65,,,america,American IPA,336,,12
Scape Goat Pale Ale,0.05,40,,,america,English Pale Ale,336,,12
Montana Trout Slayer Ale,0.05,35,,,america,American Pale Wheat Ale,336,,12
Moose Drool Brown Ale,0.051,26,,,america,American Brown Ale,336,,12
Powder Hound Winter Ale,0.072,60,,,america,English Strong Ale,336,,12
Moose Drool Brown Ale (2011),0.051,26,,,america,American Brown Ale,336,,12
Montana Trout Slayer Ale (2012),0.05,35,,,america,American Pale Wheat Ale,336,,12
Big Sky IPA (2012),0.062,65,,,america,American IPA,336,,12
Summer Honey,0.047,,,,america,American Blonde Ale,336,,12
Scape Goat Pale Ale (2010),0.05,40,,,america,English Pale Ale,336,,12
Montana Trout Slayer Ale (2009),0.05,35,,,america,American Pale Wheat Ale,336,,12
Moose Drool Brown Ale (2009),0.051,26,,,america,American Brown Ale,336,,12
Arcus IPA,0.069,81,,,america,American IPA,221,,12
Wavemaker,0.058,38,,,america,American Amber / Red Ale,221,,12
Jack Pine Savage,0.053,43,,,america,American Pale Ale (APA),444,,16
Forest Fire Imperial Smoked Rye,0.099,85,,,america,Rye Beer,444,,16
Bad Axe Imperial IPA,0.098,76,,,america,American Double / Imperial IPA,444,,16
Morning Wood,0.055,35,,,america,Oatmeal Stout,444,,16
Bark Bite IPA,0.066,50,,,america,American IPA,444,,16
Jalapeno Pale Ale,0.055,45,,,america,American Pale Ale (APA),70,,16
Blown Out Brown,0.052,,,,america,American Brown Ale,407,,12
Single Hop Ale,0.063,,,,america,American Pale Ale (APA),407,,12
Sawtooth Ale,0.054,,,,america,American Blonde Ale,407,,12
Saucy Intruder,0.072,75,,,america,Rye Beer,18,,16
Deception,0.045,16,,,america,American Blonde Ale,112,,12
Blackmarket Rye IPA,0.075,35,,,america,American IPA,112,,12
Black Market Hefeweizen,0.05,8,,,america,Hefeweizen,112,,12
Aftermath Pale Ale,0.058,44,,,america,American Pale Ale (APA),112,,12
American India Red Ale,0.071,83,,,america,American Strong Ale,294,,12
American Red Porter,0.071,45,,,america,American Porter,294,,12
American Red Saison,0.078,34,,,america,Saison / Farmhouse Ale,294,,12
Colorado Red Ale,0.066,44,,,america,American Amber / Red Ale,294,,12
Saddle Bronc Brown Ale,0.048,16,,,america,American Brown Ale,79,,12
Bomber Mountain Amber Ale,0.046,20,,,america,American Amber / Red Ale,79,,12
Flying Sailor,0.073,,,,america,Rye Beer,95,,12
Nordskye ,0.048,47,,,america,American IPA,12,,12
North Third Stout,0.06,30,,,america,Foreign / Export Stout,12,,12
Honey Lav,0.052,,,,america,American Pale Wheat Ale,12,,12
Coconut Brown Ale,0.068,,,,america,American Brown Ale,12,,12
51K IPA,0.07,51,,,america,American IPA,12,,12
Grand Rabbits,0.055,,,,america,Cream Ale,12,,12
1800 Big Log Wheat (2012),0.05,,,,america,American Pale Wheat Ale,380,,12
Double Play Pilsner,,,,,america,American Pilsner,380,,12
Brewerhood Brown Ale,0.055,,,,america,American Brown Ale,380,,12
Last Call Imperial Amber Ale,0.08,,,,america,American Amber / Red Ale,380,,12
Pernicious Double IPA,0.096,,,,america,American Double / Imperial IPA,380,,12
6-4-3 Double Play Pilsner,0.052,,,,america,German Pilsener,380,,12
N Street Drive-In 50th Anniversary IPA,,,,,america,American Double / Imperial IPA,380,,12
467 Ethan's Stout,0.05,,,,america,American Stout,380,,12
1335 Wicked Snout,0.064,,,,america,Saison / Farmhouse Ale,380,,12
543 Skull Creek Fresh Hopped Pale Ale,0.045,,,,america,American Pale Ale (APA),380,,12
1327 Pod's ESB,0.056,37,,,america,Extra Special / Strong Bitter (ESB),380,,12
1327 Pod's ESB,0.056,37,,,america,Extra Special / Strong Bitter (ESB),380,,12
1327 Pod's ESB,0.056,37,,,america,Extra Special / Strong Bitter (ESB),380,,12
834 Happy As Ale,0.046,35,,,america,American Pale Ale (APA),380,,12
Yellow Collar,0.059,,,,america,Mead,422,,12
Green Collar,0.059,,,,america,Mead,422,,12
Quarter Mile Double IPA,0.08,80,,,america,American Double / Imperial IPA,304,,12
Full Nelson Pale Ale,0.059,60,,,america,American Pale Ale (APA),382,,12
Steel Wheels ESB,0.065,30,,,america,Extra Special / Strong Bitter (ESB),382,,12
Blue Mountain Classic Lager,0.053,22,,,america,Euro Pale Lager,382,,12
Full Nelson Pale Ale (2010),0.059,60,,,america,American Pale Ale (APA),382,,12
Klsch 151,0.049,16,,,america,Kölsch,414,,12
Professor Black,,,,,america,American Stout,77,,12
Little Boss,,,,,america,American Pale Wheat Ale,77,,12
Van Dayum!,,,,,america,American Amber / Red Ale,77,,12
Spirit Animal,,,,,america,American Pale Ale (APA),77,,12
Toxic Sludge,0.07,,,,america,American Black Ale,489,,16
Blue Point White IPA,0.06,40,,,america,American White IPA,489,,12
Blue Point Summer Ale,0.044,16,,,america,American Blonde Ale,489,,12
Toasted Lager,0.055,28,,,america,Vienna Lager,489,,12
Bohemian Export Lager,0.06,,,,america,Dortmunder / Export Lager,364,,12
Altus Bohemes Altbier,0.053,,,,america,Altbier,364,,12
Cherny Bock,0.04,,,,america,Schwarzbier,364,,12
Czech Pilsner,0.05,,,,america,Czech Pilsener,364,,12
Viennese Lager,0.05,,,,america,Vienna Lager,364,,12
Mad Manatee IPA,0.065,,,,america,American IPA,378,,12
Killer Whale Cream Ale,0.055,,,,america,Cream Ale,378,,12
Duke's Cold Nose Brown Ale,0.06,,,,america,American Brown Ale,378,,12
Longhop IPA,0.042,30,,,america,American IPA,281,,16
Lucky Buck,0.04,34,,,america,Irish Dry Stout,281,,16
Bomb Lager (New Recipe),0.051,,,,america,Munich Helles Lager,525,,12
Bomb Lager (Old Recipe),0.045,27,,,america,Munich Helles Lager,525,,12
Firestarter India Pale Ale,0.066,72,,,america,American IPA,107,,12
Kilt Dropper Scotch Ale,0.075,22,,,america,Scotch Ale / Wee Heavy,107,,16
Wood Splitter Pilsner,0.048,30,,,america,Czech Pilsener,107,,16
Gyptoberfest,0.056,26,,,america,Märzen / Oktoberfest,107,,12
Farmer Wirtz India Pale Ale,0.07,94,,,america,English India Pale Ale (IPA),107,,16
Slow & Steady Golden Ale,0.047,,,,america,American Blonde Ale,107,,12
Pink-I Raspberry IPA,0.068,,,,america,American IPA,107,,16
Moe's Original Bar B Que 'Bama Brew Golden Ale,0.047,,,,america,American Blonde Ale,107,,12
Live Local Golden Ale,0.047,,,,america,American Blonde Ale,107,,12
Screaming Eagle Special Ale ESB,0.048,38,,,america,Extra Special / Strong Bitter (ESB),107,,12
Dirtbag Dunkel,0.049,,,,america,Munich Dunkel Lager,107,,16
Kindler Pale Ale,0.053,45,,,america,American Pale Ale (APA),107,,12
Mistress Winter Wheat,0.064,,,,america,Winter Warmer,107,,12
Tent Pole Vanilla Porter,0.061,,,,america,American Porter,107,,16
Awry Rye Pale Ale,0.058,,,,america,American Pale Ale (APA),107,,12
Demshitz Brown Ale,0.058,,,,america,American Brown Ale,107,,12
Wood Splitter Pilsner (2012),0.048,,,,america,Czech Pilsener,107,,12
Brush Creek Blonde,0.048,,,,america,American Blonde Ale,107,,16
Firestarter India Pale Ale,0.066,72,,,america,American IPA,107,,16
Noche Dulce,0.071,16,,,america,American Porter,231,,16
Porch Rocker,0.045,8,,,america,Radler,300,,12
Rebel IPA,0.065,45,,,america,American IPA,300,,16
Cold Snap,0.055,,,,america,Witbier,300,,12
Samuel Adams Winter Lager,0.056,,,,america,Bock,300,,12
Boston Lager,0.049,30,,,america,Vienna Lager,300,,16
Boston Lager,0.049,30,,,america,Vienna Lager,300,,12
Samuel Adams Octoberfest,0.053,15,,,america,Märzen / Oktoberfest,300,,12
Samuel Adams Summer Ale,0.053,7,,,america,American Pale Wheat Ale,300,,12
Boston Lager,0.049,30,,,america,Vienna Lager,300,,12
Hazed & Infused,0.049,35,,,america,American Pale Ale (APA),417,,12
Hoopla Pale Ale,0.057,35,,,america,American Pale Ale (APA),417,,12
Hazed & Infused (2010),0.049,35,,,america,American Pale Ale (APA),417,,12
Heavy Lifting,0.062,80,,,america,American IPA,31,,12
1492,0.065,,,,america,American Pale Ale (APA),167,,12
Mango Ginger,0.058,,,,america,American IPA,167,,12
Passenger,0.047,,,,america,English Dark Mild Ale,167,,12
Plum St. Porter,0.06,52,,,america,American Porter,219,,12
Plum St. Porter,0.057,52,,,america,American Porter,219,,12
Bozone HopZone IPA,0.07,80,,,america,American IPA,219,,12
Bozone Hefe Weizen,0.06,25,,,america,Hefeweizen,219,,12
Bozone Select Amber Ale,0.055,,,,america,American Amber / Red Ale,219,,12
Evil Owl,0.052,40,,,america,American Amber / Red Ale,207,,12
Agave Wheat,0.042,9,,,america,American Pale Wheat Ale,391,,12
SummerBright Ale,0.045,15,,,america,American Pale Wheat Ale,391,,12
Lucky U IPA,0.062,68,,,america,American IPA,391,,12
Avalanche Ale,0.054,19,,,america,American Amber / Red Ale,391,,12
"You're My Boy, Blue",0.05,,,,america,Fruit / Vegetable Beer,308,,12
Last Stop IPA,0.072,60,,,america,American IPA,308,,12
Rollin Dirty Red Ale,0.05,21,,,america,Irish Red Ale,308,,12
Are Wheat There Yet?,0.055,28,,,america,American Pale Wheat Ale,308,,12
Insert Hop Reference,0.058,,,,america,American Pale Ale (APA),19,,16
Manitou Amber,0.053,,,,america,American Amber / Red Ale,85,,16
Belfort,0.067,,,,america,Saison / Farmhouse Ale,10,,16
Star Runner,0.06,,,,america,Belgian Pale Ale,10,,16
Tart Side of the Barrel,0.098,,,,america,American Double / Imperial Stout,10,,16
Linnaeus Mango IPA,0.06,,,,america,American IPA,10,,16
Beasts A'Burnin',0.07,,,,america,Rauchbier,10,,16
Verdun,0.077,,,,america,Bière de Garde,10,,16
Barrel Aged Triomphe,0.065,,,,america,Belgian IPA,10,,16
Cherry Doppelbock,0.065,,,,america,Doppelbock,10,,16
Tropical Saison,0.065,,,,america,Saison / Farmhouse Ale,10,,16
Beach Patrol,0.065,,,,america,Witbier,10,,16
Nuit Serpent,0.05,,,,america,Belgian IPA,10,,16
Paris,0.09,,,,america,Saison / Farmhouse Ale,10,,16
The Grand Army,0.055,,,,america,Belgian IPA,10,,16
Acidulated Trip,0.059,,,,america,Saison / Farmhouse Ale,10,,16
Root Stock,0.066,,,,america,Rye Beer,10,,16
Mind Games,0.041,,,,america,Dunkelweizen,10,,16
Sous Chef,0.082,,,,america,Belgian Strong Pale Ale,10,,16
Dubbelicious,0.065,,,,america,Dubbel,10,,16
Psychopomp,0.062,,,,america,Belgian Dark Ale,10,,16
Fat Paczki,,,,,america,Belgian Dark Ale,10,,16
Earth-Like Planets,,,,,america,Belgian Pale Ale,10,,16
Ski Patrol,0.061,,,,america,Witbier,10,,16
Viking Ice Hole,0.063,,,,america,Oatmeal Stout,10,,16
Rye Porter,0.056,,,,america,American Porter,10,,16
Wizard Burial Ground,0.099,,,,america,Quadrupel (Quad),10,,16
Smoky Wheat,0.051,,,,america,Rauchbier,10,,16
BRIPA,0.062,,,,america,Belgian IPA,10,,16
Mela,0.062,,,,america,Belgian Dark Ale,10,,16
